Identifier, Author, Author Tag, Number of Comments, Opening Date, Closing Date 
#26158, penne12, ['Ruby on Rails member'], · 3 comments, 14/08/2016, None
#26091, elibar-uk, None, · 2 comments, 09/08/2016, 09/08/2016
#26096, gnfisher, ['Ruby on Rails member'], · 2 comments, 09/08/2016, 09/08/2016
#26099, yahonda, None, · 5 comments, 10/08/2016, 11/08/2016
#26101, cmager, ['Ruby on Rails member'], · 4 comments, 10/08/2016, 11/08/2016
#26106, BattleBrisket, ['Ruby on Rails member'], · 1 comment, 10/08/2016, 16/08/2016
#26108, violetaria, ['Ruby on Rails member'], · 4 comments, 10/08/2016, 16/08/2016 - 17/08/2016
#26111, claudiob, ['Ruby on Rails member'], · 1 comment, 10/08/2016, 23/08/2016
#26115, theodorton, None, · 3 comments, 11/08/2016, 11/08/2016
#26119, chrismccord, ['Ruby on Rails member'], · 5 comments, 11/08/2016, None
#26120, kyatul, ['Ruby on Rails member'], · 5 comments, 11/08/2016, 11/08/2016
#26122, johnathanludwig, ['Ruby on Rails member'], · 4 comments, 11/08/2016, 14/08/2016 - 14/08/2016
#26123, achinn, ['Ruby on Rails member'], · 6 comments, 11/08/2016, 16/08/2016
#26126, davidcornu, ['Ruby on Rails member'], · 4 comments, 11/08/2016, None
#26127, rosswilson, None, · 1 comment, 11/08/2016, 12/08/2016
#26128, brendon, ['Ruby on Rails member'], · 4 comments, 11/08/2016, 12/08/2016
#26129, tbreier, None, · 4 comments, 12/08/2016, 16/08/2016
#26132, liudangyi, ['Ruby on Rails member'], · 4 comments, 12/08/2016, None
#26134, mattcg, ['Ruby on Rails member'], · 4 comments, 12/08/2016, None
#26136, antidis, ['Ruby on Rails member'], · 3 comments, 12/08/2016, 12/08/2016
#26137, morgoth, None, · 2 comments, 12/08/2016, 20/08/2016
#26142, joelpresence, ['Ruby on Rails member'], · 4 comments, 12/08/2016, 12/08/2016
#26145, bcardarella, ['Ruby on Rails member'], · 3 comments, 13/08/2016, 13/08/2016
#26148, buehmann, None, · 1 comment, 13/08/2016, None
#26152, krunalsheth3, None, · 1 comment, 13/08/2016, 13/08/2016
#26153, iosdev-republicofapps, ['Ruby on Rails member'], · 1 comment, 13/08/2016, 14/08/2016
#26171, agrimm, ['Ruby on Rails member'], · 5 comments, 15/08/2016, 21/08/2016
#26172, k2m30, ['Ruby on Rails member'], · 9 comments, 15/08/2016, None
#26173, joykoduru, ['Ruby on Rails member'], · 5 comments, 15/08/2016, None
#26174, pcragone, ['Ruby on Rails member'], · 5 comments, 15/08/2016, 15/08/2016
#26179, jgonera, None, · 1 comment, 15/08/2016, None
#26180, benternet, ['Ruby on Rails member'], · 4 comments, 15/08/2016, 16/08/2016
#26187, greenbigfrog, ['Ruby on Rails member'], · 2 comments, 17/08/2016, 17/08/2016
#26189, greenbigfrog, ['Ruby on Rails member'], · 8 comments, 17/08/2016, 19/08/2016
